symbol	date	close
DGKC	01-Dec-18	137.23
DGKC	02-Jan-18	164.67
DGKC	02-Feb-18	162.02
DGKC	02-Jun-18	158.11
DGKC	02-Jul-18	158.54
DGKC	02-Aug-18	151.25
DGKC	02-Sep-18	151.46
DGKC	02-Dec-18	150.8
DGKC	03-Jan-18	149.51
DGKC	03-Feb-18	153.09
DGKC	03-May-18	152.03
DGKC	03-Jun-18	155.78
DGKC	03-Jul-18	154.34
DGKC	03-Aug-18	150.91
DGKC	03-Sep-18	146.65
DGKC	03-Dec-18	152.97
DGKC	04-Feb-18	171.19
DGKC	04-Mar-18	171.58
DGKC	04-Apr-18	165.45
DGKC	04-May-18	167.8
DGKC	04-Jun-18	167.41
DGKC	04-Sep-18	167.09
DGKC	04-Oct-18	166.72
DGKC	04-Nov-18	164.68
DGKC	04-Dec-18	165.01
DGKC	05-Feb-18	144.04
DGKC	05-Mar-18	143.59
DGKC	05-Apr-18	142.77
DGKC	05-Jul-18	141.24
DGKC	05-Aug-18	137.42
DGKC	05-Sep-18	135.49
DGKC	05-Oct-18	138.64
DGKC	05-Nov-18	137.53
DGKC	06-Jan-18	125.88
DGKC	06-Apr-18	127.29
DGKC	06-May-18	131.87
DGKC	06-Jun-18	129.81
DGKC	06-Jul-18	131.3
DGKC	06-Nov-18	125.61
DGKC	06-Dec-18	119.44
DGKC	07-Feb-18	112.16
DGKC	07-Mar-18	112.63
DGKC	07-Apr-18	107
DGKC	07-May-18	108.26
DGKC	07-Jun-18	108.62
DGKC	07-Sep-18	103.19
DGKC	07-Oct-18	100.96
DGKC	07-Nov-18	98.41
DGKC	07-Dec-18	97.45
DGKC	08-Jan-18	119.72
DGKC	08-Feb-18	118.14
DGKC	08-Mar-18	117.61
DGKC	08-Jun-18	120.92
DGKC	08-Jul-18	125.31
DGKC	08-Aug-18	123.11
DGKC	08-Sep-18	126.74
DGKC	08-Oct-18	124.33
DGKC	09-Mar-18	111.71
DGKC	09-Apr-18	113.96
DGKC	09-May-18	112.53
DGKC	09-Jun-18	107.09
DGKC	09-Jul-18	102.26
DGKC	09-Oct-18	103.05
DGKC	09-Nov-18	103.77
DGKC	09-Dec-18	99.86
DGKC	10-Jan-18	100.62
DGKC	10-Feb-18	98.1
DGKC	10-Mar-18	97.47
DGKC	10-Apr-18	93.52
DGKC	10-May-18	90.46
DGKC	10-Aug-18	85.97
DGKC	10-Sep-18	81.93
DGKC	10-Oct-18	86.02
DGKC	10-Nov-18	85.41
DGKC	10-Dec-18	81.45
DGKC	11-Jan-18	106.28
DGKC	11-Feb-18	111.07
DGKC	11-May-18	105.52
DGKC	11-Jun-18	100.47
DGKC	11-Jul-18	105.49
DGKC	11-Aug-18	106.13
DGKC	11-Sep-18	108.51
DGKC	11-Dec-18	105.58
DGKC	12-Mar-18	92.34
DGKC	12-Apr-18	89.79
DGKC	12-May-18	87.74
